ticker,cap,vol,zcap,zvol,azcap,azvol,score
RELIANCE.NS,1818868.347290039,1.2283695493529208,36.94028154561397,-1.6073982469135144,36.94028154561397,1.6073982469135144,38.54767979252748
ADANITRANS.NS,414167.81113708497,2.1650440164384634,8.301678666949364,-0.0351686246156257,8.301678666949364,0.0351686246156257,8.33684729156499
DMART.NS,323569.8627636719,1.5056229843844198,6.454595535484383,-1.1420219835926138,6.454595535484383,1.1420219835926138,7.596617519076997
ADANIGREEN.NS,368959.7973232483,2.2100617172802823,7.379991573347602,0.0403946209711554,7.379991573347602,0.0403946209711554,7.420386194318757
NESTLEIND.NS,230352.20570800785,0.9451947950416428,4.554102588419671,-2.082713580745987,4.554102588419671,2.082713580745987,6.636816169165657
ULTRACEMCO.NS,222158.0125,1.2371957536067564,4.38704189530007,-1.5925832602047278,4.38704189530007,1.5925832602047278,5.979625155504797
KOTAKBANK.NS,217779.90406875,1.2308385186225983,4.297782365958899,-1.6032540252455445,4.297782365958899,1.6032540252455445,5.901036391204444
TCS.NS,152835.9375,1.0282109358621117,2.9737247322789035,-1.9433690802677068,2.9737247322789035,1.9433690802677068,4.917093812546611
MARUTI.NS,164609.81506347656,1.296843107334379,3.2137669300315133,-1.4924638059891753,3.2137669300315133,1.4924638059891753,4.7062307360206885
NTPC.NS,154963.12016578674,1.2495534285954404,3.017093078803982,-1.5718406186972762,3.017093078803982,1.5718406186972762,4.5889336975012585
SBILIFE.NS,148931.24389648438,1.1768887936718255,2.894117038969267,-1.6938098786001785,2.894117038969267,1.6938098786001785,4.587926917569446
ICICIBANK.NS,131277.66348302763,1.0017097476008463,2.534201266293497,-1.9878519338893048,2.534201266293497,1.9878519338893048,4.5220532001828015
BAJAJ-AUTO.NS,139557.7253125,1.1358611847239943,2.7030126224808257,-1.762675663231354,2.7030126224808257,1.762675663231354,4.465688285712179
HDFCLIFE.NS,134054.97458344116,1.1722554796110158,2.590824231564857,-1.7015870027471411,2.590824231564857,1.7015870027471411,4.292411234311999
POWERGRID.NS,140075.8202543068,1.305356577454779,2.7135753829482527,-1.4781737507114978,2.7135753829482527,1.4781737507114978,4.191749133659751
COALINDIA.NS,157396.64454837798,1.6291172967422076,3.0667070261150906,-0.9347339418054232,3.0667070261150906,0.9347339418054232,4.001440967920514
BAJAJFINSV.NS,145633.48786987306,1.5197936934458494,2.8268834024708465,-1.1182361227217952,2.8268834024708465,1.1182361227217952,3.9451195251926414
HDFCBANK.NS,96462.91870095064,0.9418473413202464,1.824408947948857,-2.0883323587579747,1.824408947948857,2.0883323587579747,3.912741306706832
SAKAR.NS,306.87769840812683,0.0163583138190699,-0.1359908680846402,-3.64178696361818,0.1359908680846402,3.64178696361818,3.77777783170282
NORBTEAEXP.NS,8.224999859929085,0.1201552559086149,-0.1420797075292291,-3.4675614105667623,0.1420797075292291,3.4675614105667623,3.609641118095992
HDFC.NS,97937.50317077636,1.1495921841274497,1.8544723229925089,-1.7396278651280934,1.8544723229925089,1.7396278651280934,3.594100188120602
SUBCAPCITY.NS,92.64326636375428,0.1334533130271977,-0.1403586138527581,-3.44524031603976,0.1403586138527581,3.44524031603976,3.585598929892518
KOHINOOR.NS,391.6211754717827,0.1300630287161068,-0.1342631441152097,-3.450930986181004,0.1342631441152097,3.450930986181004,3.585194130296214
CREATIVEYE.NS,6.456249338306487,0.145357255492791,-0.1421157682713421,-3.425259275001277,0.1421157682713421,3.425259275001277,3.567375043272619
ADANIPOWER.NS,155217.73501022338,2.438785792458116,3.0222840880113995,0.4243132383390364,3.0222840880113995,0.4243132383390364,3.446597326350436
BAJFINANCE.NS,102248.02566101076,1.367346868538064,1.9423539309368327,-1.3741216222924704,1.9423539309368327,1.3741216222924704,3.316475553229303
EUROTEXIND.NS,7.756927395808697,0.3019091544094369,-0.142089250446793,-3.162483314352339,0.142089250446793,3.162483314352339,3.304572564799132
ICICIPRULI.NS,95120.723125,1.322594389452312,1.7970446769915591,-1.4492396870656186,1.7970446769915591,1.4492396870656186,3.246284364057178
HINDUNILVR.NS,70742.70263671875,1.0497771297160654,1.3000330864330032,-1.907169728188744,1.3000330864330032,1.907169728188744,3.2072028146217466
IOC.NS,87466.9925172615,1.2699160236495308,1.6410027692867302,-1.5376615348683864,1.6410027692867302,1.5376615348683864,3.1786643041551166
BPCL.NS,80162.64999877929,1.215036543573044,1.4920840785816964,-1.6297780035717864,1.4920840785816964,1.6297780035717864,3.121862082153483
SBICARD.NS,97238.1284462494,1.4296430393540644,1.8402136860207048,-1.2695560677114883,1.8402136860207048,1.2695560677114883,3.109769753732193
SHREECEM.NS,88909.28134765624,1.3322963072419194,1.670407710757836,-1.4329547950589203,1.670407710757836,1.4329547950589203,3.103362505816756
